"filename", "language", "Markdown", "XML", "Java", "Java Properties", "comment", "blank", "total"
"c:\Users\polan\CodingBros\CodingBros\README.md", "Markdown", 1, 0, 0, 0, 0, 1, 2
"c:\Users\polan\CodingBros\CodingBros\auebpath\pom.xml", "XML", 0, 43, 0, 0, 0, 4, 47
"c:\Users\polan\CodingBros\CodingBros\auebpath\src\main\java\com\auebproject\CodeToName.java", "Java", 0, 0, 34, 0, 0, 9, 43
"c:\Users\polan\CodingBros\CodingBros\auebpath\src\main\java\com\auebproject\JSONtoString.java", "Java", 0, 0, 34, 0, 0, 5, 39
"c:\Users\polan\CodingBros\CodingBros\auebpath\src\main\java\com\auebproject\Location.java", "Java", 0, 0, 107, 0, 25, 26, 158
"c:\Users\polan\CodingBros\CodingBros\auebpath\src\main\java\com\auebproject\Main.java", "Java", 0, 0, 17, 0, 1, 2, 20
"c:\Users\polan\CodingBros\CodingBros\auebpath\src\main\java\com\auebproject\Url.java", "Java", 0, 0, 30, 0, 48, 10, 88
"c:\Users\polan\CodingBros\CodingBros\auebpath\src\main\java\com\auebproject\overpassAPI.java", "Java", 0, 0, 35, 0, 5, 12, 52
"c:\Users\polan\CodingBros\CodingBros\auebpath\target\classes\com\auebproject\CodeToName.class", "Java", 0, 0, 34, 0, 0, 0, 34
"c:\Users\polan\CodingBros\CodingBros\auebpath\target\classes\com\auebproject\JSONtoString.class", "Java", 0, 0, 31, 0, 0, 0, 31
"c:\Users\polan\CodingBros\CodingBros\auebpath\target\classes\com\auebproject\Location$1.class", "Java", 0, 0, 18, 0, 0, 0, 18
"c:\Users\polan\CodingBros\CodingBros\auebpath\target\classes\com\auebproject\Location$2.class", "Java", 0, 0, 18, 0, 0, 0, 18
"c:\Users\polan\CodingBros\CodingBros\auebpath\target\classes\com\auebproject\Location.class", "Java", 0, 0, 80, 0, 0, 0, 80
"c:\Users\polan\CodingBros\CodingBros\auebpath\target\classes\com\auebproject\Main.class", "Java", 0, 0, 21, 0, 0, 0, 21
"c:\Users\polan\CodingBros\CodingBros\auebpath\target\classes\com\auebproject\Url.class", "Java", 0, 0, 31, 0, 0, 0, 31
"c:\Users\polan\CodingBros\CodingBros\auebpath\target\classes\com\auebproject\overpassAPI.class", "Java", 0, 0, 32, 0, 0, 1, 33
"c:\Users\polan\CodingBros\CodingBros\auebpath\target\maven-archiver\pom.properties", "Java Properties", 0, 0, 0, 3, 1, 1, 5
"c:\Users\polan\CodingBros\README.md", "Markdown", 1, 0, 0, 0, 0, 1, 2
"c:\Users\polan\CodingBros\auebpath\pom.xml", "XML", 0, 43, 0, 0, 0, 5, 48
"c:\Users\polan\CodingBros\auebpath\src\main\java\com\auebproject\CodeToName.java", "Java", 0, 0, 34, 0, 0, 9, 43
"c:\Users\polan\CodingBros\auebpath\src\main\java\com\auebproject\JSONtoString.java", "Java", 0, 0, 38, 0, 0, 5, 43
"c:\Users\polan\CodingBros\auebpath\src\main\java\com\auebproject\Location.java", "Java", 0, 0, 107, 0, 29, 26, 162
"c:\Users\polan\CodingBros\auebpath\src\main\java\com\auebproject\Main.java", "Java", 0, 0, 17, 0, 1, 2, 20
"c:\Users\polan\CodingBros\auebpath\src\main\java\com\auebproject\Url.java", "Java", 0, 0, 29, 0, 6, 9, 44
"c:\Users\polan\CodingBros\auebpath\src\main\java\com\auebproject\overpassAPI.java", "Java", 0, 0, 35, 0, 5, 12, 52
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\CodeToName.class", "Java", 0, 0, 34, 0, 0, 0, 34
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\JSONtoString.class", "Java", 0, 0, 32, 0, 0, 0, 32
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\Location$1.class", "Java", 0, 0, 20, 0, 0, 0, 20
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\Location$2.class", "Java", 0, 0, 20, 0, 0, 0, 20
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\Location.class", "Java", 0, 0, 80, 0, 0, 0, 80
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\Main.class", "Java", 0, 0, 21, 0, 0, 0, 21
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\Url.class", "Java", 0, 0, 30, 0, 0, 0, 30
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\overpassAPI.class", "Java", 0, 0, 32, 0, 0, 1, 33
"c:\Users\polan\CodingBros\auebpath\target\maven-archiver\pom.properties", "Java Properties", 0, 0, 0, 3, 1, 1, 5
"Total", "-", 2, 86, 1051, 6, 122, 142, 1409